"Medicare Part D Prescriber PUF Drug List Summary, Calendar Years 2013 - 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
LINCOCIN,LINCOMYCIN HCL,N,N,Y,N,N
LINCOMYCIN HCL,LINCOMYCIN HCL,N,N,Y,N,N
LINEZOLID,LINEZOLID,N,N,Y,N,N
LINEZOLID-0.9% NACL,LINEZOLID IN 0.9% SODIUM CHLOR,N,N,Y,N,N
LINEZOLID-0.9% NACL,LINEZOLID-0.9% SODIUM CHLORIDE,N,N,Y,N,N
LINEZOLID-D5W,LINEZOLID IN DEXTROSE 5%,N,N,Y,N,N
LORCET,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
LORCET 10-650,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
LORCET HD,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
LORCET PLUS,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
LORTAB,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
LOXAPINE,LOXAPINE SUCCINATE,N,N,N,Y,N
LOXITANE,LOXAPINE SUCCINATE,N,N,N,Y,N
LURASIDONE HCL,LURASIDONE HCL,N,N,N,Y,N
LYBALVI,OLANZAPINE/SAMIDORPHAN MALATE,N,N,N,Y,N
MACROBID,NITROFURANTOIN MONOHYD/M-CRYST,N,N,Y,N,N
MACRODANTIN,NITROFURANTOIN MACROCRYSTAL,N,N,Y,N,N
MAGNACET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
MAXIDONE,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
MAXIPIME,CEFEPIME HCL,N,N,Y,N,N
MEPERIDINE HCL,MEPERIDINE HCL,Y,N,N,N,Y
MEPERITAB,MEPERIDINE HCL,Y,N,N,N,N
MEROPENEM,MEROPENEM,N,N,Y,N,N
MEROPENEM-0.9% NACL,MEROPENEM-0.9% SODIUM CHLORIDE,N,N,Y,N,N
MERREM,MEROPENEM,N,N,Y,N,N
METHADONE HCL,METHADONE HCL,Y,Y,N,N,N
METHADONE INTENSOL,METHADONE HCL,Y,Y,N,N,N
METHADOSE,METHADONE HCL,Y,Y,N,N,N
METRO IV,METRONIDAZOLE/SODIUM CHLORIDE,N,N,Y,N,N
METRONIDAZOLE,METRONIDAZOLE,N,N,Y,N,N
METRONIDAZOLE,METRONIDAZOLE/SODIUM CHLORIDE,N,N,Y,N,N
MINOCIN,MINOCYCLINE HCL,N,N,Y,N,N
MINOCIN,MINOCYCLINE HCL/SKIN CL NO.4,N,N,Y,N,N
MINOCYCLINE HCL,MINOCYCLINE HCL,N,N,Y,N,N
MINOCYCLINE HCL ER,MINOCYCLINE HCL,N,N,Y,N,N
MINOLIRA ER,MINOCYCLINE HCL,N,N,Y,N,N
MOLINDONE HCL,MOLINDONE HCL,N,N,N,Y,Y
MONDOXYNE NL,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
MONODOX,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
MONUROL,FOSFOMYCIN TROMETHAMINE,N,N,Y,N,N
MORGIDOX,DOXYCYCLINE HYCLATE,N,N,Y,N,N
MORGIDOX,DOXYCYCLINE/SKIN CLEANSER #19,N,N,Y,N,N
MORPHABOND ER,MORPHINE SULFATE,Y,Y,N,N,N
MORPHINE SULFATE,MORPHINE SULFATE,Y,Y,N,N,Y
MORPHINE SULFATE ER,MORPHINE SULFATE,Y,Y,N,N,N
MOXATAG,AMOXICILLIN,N,N,Y,N,N
MOXIFLOXACIN,MOXIFLOXACIN-SOD.CHLORIDE(ISO),N,N,Y,N,N
MOXIFLOXACIN,"MOXIFLOXACIN/SOD.ACE,SUL/WATER",N,N,Y,N,N
MOXIFLOXACIN HCL,MOXIFLOXACIN HCL,N,N,Y,N,N
MS CONTIN,MORPHINE SULFATE,Y,Y,N,N,N
NAFCILLIN,"NAFCILLIN IN DEXTROSE,ISO-OSM",N,N,Y,N,N
NAFCILLIN SODIUM,NAFCILLIN SODIUM,N,N,Y,N,N
NALOCET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
NEOMYCIN SULFATE,NEOMYCIN SULFATE,N,N,Y,N,N
NITROFURANTOIN,NITROFURANTOIN,N,N,Y,N,N
NITROFURANTOIN,NITROFURANTOIN MACROCRYSTAL,N,N,Y,N,N
NITROFURANTOIN MONO-MACRO,NITROFURANTOIN MONOHYD/M-CRYST,N,N,Y,N,N
NORCO,HYDROCODONE/ACETAMINOPHEN,Y,N,N,N,N
NOROXIN,NORFLOXACIN,N,N,Y,N,N
NUCYNTA,TAPENTADOL HCL,Y,N,N,N,N
NUCYNTA ER,TAPENTADOL HCL,Y,Y,N,N,N
NUPLAZID,PIMAVANSERIN TARTRATE,N,N,N,Y,N
NUZYRA,OMADACYCLINE TOSYLATE,N,N,Y,N,N
OFLOXACIN,OFLOXACIN,N,N,Y,N,N
OKEBO,DOXYCYCLINE MONOHYDRATE,N,N,Y,N,N
OLANZAPINE,OLANZAPINE,N,N,N,Y,N
OLANZAPINE ODT,OLANZAPINE,N,N,N,Y,N
OLANZAPINE-FLUOXETINE HCL,OLANZAPINE/FLUOXETINE HCL,N,N,N,Y,N
OPANA,OXYMORPHONE HCL,Y,N,N,N,N
OPANA ER,OXYMORPHONE HCL,Y,Y,N,N,N
ORAP,PIMOZIDE,N,N,N,Y,N
ORBACTIV,ORITAVANCIN DIPHOSPHATE,N,N,Y,N,N
OXACILLIN,OXACILLIN IN DEXTROSE(ISO-OSM),N,N,Y,N,N
OXACILLIN,"OXACILLIN SODIUM/DEXTROSE,ISO",N,N,Y,N,N
OXACILLIN SODIUM,OXACILLIN SODIUM,N,N,Y,N,N
OXAYDO,OXYCODONE HCL,Y,N,N,N,N
OXECTA,OXYCODONE HCL,Y,N,N,N,N
OXYCODONE CONCENTRATE,OXYCODONE HCL,Y,N,N,N,N
OXYCODONE HCL,OXYCODONE HCL,Y,Y,N,N,Y
OXYCODONE HCL ER,OXYCODONE HCL,Y,Y,N,N,N
OXYCODONE HCL-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
OXYCODONE HCL-ASPIRIN,OXYCODONE HCL/ASPIRIN,Y,N,N,N,N
OXYCODONE HCL-IBUPROFEN,IBUPROFEN/OXYCODONE HCL,Y,N,N,N,N
OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
OXYCODONE-ASPIRIN,OXYCODONE HCL/OXYCODON TER/ASA,Y,N,N,N,N
OXYCONTIN,OXYCODONE HCL,Y,Y,N,N,N
OXYMORPHONE HCL,OXYMORPHONE HCL,Y,N,N,N,N
OXYMORPHONE HCL ER,OXYMORPHONE HCL,Y,Y,N,N,N
PALIPERIDONE ER,PALIPERIDONE,N,N,N,Y,N
PCE,ERYTHROMYCIN BASE,N,N,Y,N,N
PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM,N,N,Y,N,N
PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,N,N,Y,N,N
PENICILLIN G SODIUM,PENICILLIN G SODIUM,N,N,Y,N,N
PENICILLIN GK-ISO-OSM DEXTROSE,PEN G POT/DEXTROSE-WATER,N,N,Y,N,N
PENICILLIN V POTASSIUM,PENICILLIN V POTASSIUM,N,N,Y,N,N
PENTAZOCINE-ACETAMINOPHEN,PENTAZOCINE HCL/ACETAMINOPHEN,Y,N,N,N,N
PENTAZOCINE-NALOXONE HCL,PENTAZOCINE HCL/NALOXONE HCL,Y,N,N,N,Y
PERCOCET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N,N
PERCODAN,OXYCODONE HCL/ASPIRIN,Y,N,N,N,N
PERPHENAZINE,PERPHENAZINE,N,N,N,Y,N
